# Time,Theta 1,Theta 2,Tape Position,Tape Speed,Tension Arm 1 Height,Tension Arm 2 Height
5.7725000000e+02,3.1233756542e+00,3.5141811371e+00,2.2965850830e+02,7.1976795197e+00,4.1803279519e-01,1.1764705926e-01
5.7727001953e+02,3.0547258854e+00,3.4313409328e+00,2.2966885376e+02,8.0826034546e+00,4.1803279519e-01,1.2605042756e-01
5.7729003906e+02,2.9860758781e+00,3.3496515751e+00,2.2967886353e+02,7.2475976944e+00,4.2622950673e-01,1.2605042756e-01
5.7730999756e+02,2.9147415161e+00,3.2648940086e+00,2.2968888855e+02,7.8385238647e+00,4.2622950673e-01,1.2605042756e-01
5.7733001709e+02,2.8453245163e+00,3.1763012409e+00,2.2969824219e+02,6.9309735298e+00,4.3442621827e-01,1.2605042756e-01
5.7735003662e+02,2.7785923481e+00,3.0900094509e+00,2.2970860291e+02,7.9077563286e+00,4.3442621827e-01,1.1764705926e-01
5.7737005615e+02,2.7126271725e+00,3.0067858696e+00,2.2971925354e+02,8.1035614014e+00,4.2622950673e-01,1.2605042756e-01
5.7739001465e+02,2.6466619968e+00,2.9243295193e+00,2.2972991943e+02,8.1691551208e+00,4.1803279519e-01,1.2605042756e-01
5.7741003418e+02,2.5783956051e+00,2.8380377293e+00,2.2973928833e+02,6.9864187241e+00,4.1803279519e-01,1.2605042756e-01
5.7743005371e+02,2.5085952282e+00,2.7498283386e+00,2.2974867249e+02,6.9857888222e+00,4.1803279519e-01,1.2605042756e-01
5.7745001221e+02,2.4407124519e+00,2.6650710106e+00,2.2975802612e+02,6.9381966591e+00,4.1803279519e-01,1.2605042756e-01
5.7747003174e+02,2.3739802837e+00,2.5822308064e+00,2.2976837158e+02,8.0393943787e+00,4.0983605385e-01,1.2605042756e-01
5.7749005127e+02,2.3064808846e+00,2.4974732399e+00,2.2977903748e+02,8.1688508987e+00,4.0163934231e-01,1.2605042756e-01
5.7751000977e+02,2.2397487164e+00,2.4088804722e+00,2.2978906250e+02,8.1694536209e+00,4.0983605385e-01,1.2605042756e-01
5.7755004883e+02,2.0993807316e+00,2.2370641232e+00,2.2980877686e+02,7.0342736244e+00,4.0163934231e-01,1.2605042756e-01
5.7757000732e+02,2.0284299850e+00,2.1538405418e+00,2.2981814575e+02,6.9851479530e+00,4.0163934231e-01,1.2605042756e-01
5.7759002686e+02,1.9590132236e+00,2.0663983822e+00,2.2982850647e+02,7.7252855301e+00,4.0983605385e-01,1.2605042756e-01
5.7761004639e+02,1.8903632164e+00,1.9766548872e+00,2.2983818054e+02,8.1685934067e+00,4.1803279519e-01,1.2605042756e-01
5.7763000488e+02,1.8197958469e+00,1.8895962238e+00,2.2984788513e+02,7.7323017120e+00,4.1803279519e-01,1.2605042756e-01
5.7765002441e+02,1.7465437651e+00,1.8056057692e+00,2.2985723877e+02,7.0834479332e+00,4.1803279519e-01,1.2605042756e-01
5.7767004395e+02,1.6744422913e+00,1.7204645872e+00,2.2986726379e+02,7.1335811615e+00,4.2622950673e-01,1.2605042756e-01
5.7771002197e+02,1.5325404406e+00,1.5405942202e+00,2.2988957214e+02,8.3995208740e+00,4.3442621827e-01,1.2605042756e-01
5.7773004150e+02,1.4623564482e+00,1.4550696611e+00,2.2989958191e+02,7.1525864601e+00,4.2622950673e-01,1.2605042756e-01
5.7775000000e+02,1.3902549744e+00,1.3695449829e+00,2.2990925598e+02,7.7679686546e+00,4.2622950673e-01,1.2605042756e-01
5.7777001953e+02,1.3173865080e+00,1.2809522152e+00,2.2991896057e+02,6.8434133530e+00,4.2622950673e-01,1.1764705926e-01
5.7779003906e+02,1.2464355230e+00,1.1885242462e+00,2.2992898560e+02,8.3021774292e+00,4.2622950673e-01,1.2605042756e-01
5.7780999756e+02,1.1777856350e+00,1.1003148556e+00,2.2993931580e+02,7.8418993950e+00,4.1803279519e-01,1.2605042756e-01
5.7783001709e+02,1.1091358662e+00,1.0132561922e+00,2.2995030212e+02,8.0780200958e+00,4.1803279519e-01,1.2605042756e-01
5.7785003662e+02,1.0393354893e+00,9.2504692078e-01,2.2996098328e+02,8.0755472183e+00,4.1803279519e-01,1.1764705926e-01
5.7787005615e+02,9.6761751175e-01,8.3261895180e-01,2.2997132874e+02,7.9132676125e+00,4.0983605385e-01,1.1764705926e-01
5.7789001465e+02,8.9743357897e-01,7.4134153128e-01,2.2998165894e+02,7.1408777237e+00,4.0163934231e-01,1.1764705926e-01
5.7791003418e+02,8.2801669836e-01,6.5313220024e-01,2.2999136353e+02,7.6635913849e+00,3.9344263077e-01,1.2605042756e-01
5.7793005371e+02,7.5859981775e-01,5.6684052944e-01,2.3000103760e+02,7.1935157776e+00,3.9344263077e-01,1.1764705926e-01
5.7795001221e+02,6.8994998932e-01,4.7479605675e-01,2.3001139832e+02,7.8999195099e+00,3.8524588943e-01,1.2605042756e-01
5.7797003174e+02,6.1976605654e-01,3.8160103559e-01,2.3002204895e+02,8.0385675430e+00,3.8524588943e-01,1.2605042756e-01
5.7799005127e+02,5.4689753056e-01,2.9339173436e-01,2.3003273010e+02,7.9132184982e+00,3.7704917789e-01,1.2605042756e-01
5.7801000977e+02,4.7402900457e-01,2.0748357475e-01,2.3004306030e+02,7.1893334389e+00,3.7704917789e-01,1.2605042756e-01
5.7803002930e+02,4.0269455314e-01,1.1889076978e-01,2.3005404663e+02,9.0673971176e+00,3.8524588943e-01,1.2605042756e-01
5.7805004883e+02,3.3251065016e-01,2.6079265401e-02,2.3006501770e+02,8.2339086533e+00,3.8524588943e-01,1.2605042756e-01
5.7807000732e+02,2.6117616892e-01,6.2195215225e+00,2.3007537842e+02,7.8523015976e+00,3.8524588943e-01,1.2605042756e-01
5.7809002686e+02,1.8715707958e-01,6.1332297325e+00,2.3008570862e+02,7.9126596451e+00,3.8524588943e-01,1.2605042756e-01
5.7813000488e+02,4.1803527623e-02,5.9556608200e+00,2.3010671997e+02,8.1034259796e+00,3.8524588943e-01,1.2605042756e-01
5.7815002441e+02,6.2532711029e+00,5.8647665977e+00,2.3011705017e+02,7.8545269966e+00,3.9344263077e-01,1.2605042756e-01
5.7817004395e+02,6.1819362640e+00,5.7784752846e+00,2.3012806702e+02,8.2357673645e+00,3.9344263077e-01,1.1764705926e-01
5.7819000244e+02,6.1098351479e+00,5.6925668716e+00,2.3013839722e+02,8.1033353806e+00,3.9344263077e-01,1.2605042756e-01
5.7821002197e+02,6.0361995697e+00,5.6043572426e+00,2.3014872742e+02,7.9133911133e+00,3.9344263077e-01,1.2605042756e-01
5.7823004150e+02,5.9648652077e+00,5.5123128891e+00,2.3015940857e+02,9.0792245865e+00,3.9344263077e-01,1.2605042756e-01
5.7825000000e+02,5.8958315849e+00,5.4244871140e+00,2.3016973877e+02,7.1338610649e+00,4.0163934231e-01,1.2605042756e-01
5.7827001953e+02,5.8275656700e+00,5.3404965401e+00,2.3018038940e+02,6.9877772331e+00,3.9344263077e-01,1.2605042756e-01
5.7829003906e+02,5.7577648163e+00,5.2553553581e+00,2.3019042969e+02,7.1334505081e+00,3.9344263077e-01,1.2605042756e-01
5.7830999756e+02,5.6871976852e+00,5.1640782356e+00,2.3020075989e+02,7.9762368202e+00,3.9344263077e-01,1.2605042756e-01
5.7833001709e+02,5.6170134544e+00,5.0743346214e+00,2.3020980835e+02,7.0345664024e+00,3.9344263077e-01,1.1764705926e-01
5.7835003662e+02,5.5483636856e+00,4.9895772934e+00,2.3021983337e+02,6.8446078300e+00,3.9344263077e-01,1.2605042756e-01
5.7837005615e+02,5.4793305397e+00,4.9063539505e+00,2.3023114014e+02,9.0685558319e+00,3.8524588943e-01,1.2605042756e-01
5.7839001465e+02,5.4114475250e+00,4.8196783066e+00,2.3024147034e+02,7.9125843048e+00,3.8524588943e-01,1.2605042756e-01
5.7841003418e+02,5.3427977562e+00,4.7295517921e+00,2.3025184631e+02,7.2491459846e+00,3.9344263077e-01,1.2605042756e-01
